datetime,GF,day,hour
2016-01-09 00:00:00,3671.999999994412,9,0
2016-01-09 01:00:00,3306.000000005588,9,1
2016-01-09 02:00:00,3163.9999999981374,9,2
2016-01-09 03:00:00,3116.0,9,3
2016-01-09 04:00:00,3162.0000000037253,9,4
2016-01-09 05:00:00,3167.9999999962747,9,5
2016-01-09 06:00:00,3217.0,9,6
2016-01-09 07:00:00,3252.9999999925494,9,7
2016-01-09 08:00:00,4121.000000007451,9,8
2016-01-09 09:00:00,7165.0,9,9
2016-01-09 10:00:00,7192.999999996275,9,10
2016-01-09 11:00:00,6430.000000001863,9,11
2016-01-09 12:00:00,6366.000000003725,9,12
2016-01-09 13:00:00,6708.999999994412,9,13
2016-01-09 14:00:00,7665.000000007451,9,14
2016-01-09 15:00:00,7860.0,9,15
2016-01-09 16:00:00,7984.999999994412,9,16
2016-01-09 17:00:00,7722.000000005588,9,17
2016-01-09 18:00:00,8072.999999996275,9,18
2016-01-09 19:00:00,7623.0,9,19
2016-01-09 20:00:00,7238.0,9,20
2016-01-09 21:00:00,7232.0,9,21
2016-01-09 22:00:00,4786.0,9,22
2016-01-09 23:00:00,3010.0,9,23
2016-01-10 00:00:00,3001.9999999962747,10,0
2016-01-10 01:00:00,2944.0,10,1
2016-01-10 02:00:00,3127.0000000037253,10,2
2016-01-10 03:00:00,2985.0000000037253,10,3
2016-01-10 04:00:00,2964.9999999962747,10,4
2016-01-10 05:00:00,2907.0000000037253,10,5
2016-01-10 06:00:00,3088.9999999962747,10,6
2016-01-10 07:00:00,3101.9999999962747,10,7
2016-01-10 08:00:00,4003.0,10,8
2016-01-10 09:00:00,7268.000000007451,10,9
2016-01-10 10:00:00,7521.000000001863,10,10
2016-01-10 11:00:00,7147.999999994412,10,11
2016-01-10 12:00:00,7508.000000007451,10,12
2016-01-10 13:00:00,7606.999999988824,10,13
2016-01-10 14:00:00,8135.000000003725,10,14
2016-01-10 15:00:00,7741.000000003725,10,15
2016-01-10 16:00:00,8037.999999996275,10,16
2016-01-10 17:00:00,7720.0,10,17
2016-01-10 18:00:00,3619.999999994412,10,18
2016-01-10 19:00:00,7962.000000001863,10,19
2016-01-10 20:00:00,7387.0,10,20
2016-01-10 21:00:00,7464.0,10,21
2016-01-10 22:00:00,4872.0,10,22
2016-01-10 23:00:00,3381.0,10,23
2016-01-11 00:00:00,3230.0,11,0
2016-01-11 01:00:00,3146.0,11,1
2016-01-11 02:00:00,3176.0,11,2
2016-01-11 03:00:00,3389.0,11,3
2016-01-11 04:00:00,3244.0,11,4
2016-01-11 05:00:00,3198.0,11,5
2016-01-11 06:00:00,3118.0,11,6
2016-01-11 07:00:00,3489.000000005588,11,7
2016-01-11 08:00:00,3326.999999988824,11,8
2016-01-11 09:00:00,4372.000000005588,11,9
2016-01-11 10:00:00,6540.999999994412,11,10
2016-01-11 11:00:00,6840.000000005588,11,11
2016-01-11 12:00:00,8157.000000005588,11,12
2016-01-11 13:00:00,8624.999999998137,11,13
2016-01-11 14:00:00,8526.999999998137,11,14
2016-01-11 15:00:00,8208.999999998137,11,15
2016-01-11 16:00:00,7968.999999998137,11,16
